iter	Passed	Remaining
0	8	16908
1	15	15365
2	22	14758
3	33	16840
4	46	18568
5	56	18693
6	73	21036
7	86	21575
8	99	22009
9	110	21929
10	119	21543
11	126	21007
12	134	20537
13	142	20173
14	149	19750
15	155	19310
16	163	19055
17	169	18679
18	177	18513
19	185	18315
20	193	18199
21	199	17974
22	207	17804
23	215	17733
24	222	17584
25	264	20057
26	275	20114
27	285	20114
28	293	19938
29	300	19714
30	307	19500
31	313	19296
32	320	19089
33	327	18936
34	334	18772
35	343	18714
36	350	18617
37	358	18511
38	365	18397
39	373	18296
40	380	18181
41	386	18039
42	394	17962
43	401	17847
44	409	17800
45	416	17694
46	426	17740
47	434	17683
48	447	17825
49	461	17981
50	472	18048
51	483	18109
52	494	18152
53	502	18114
54	512	18135
55	522	18151
56	531	18110
57	541	18139
58	551	18157
59	563	18234
60	575	18285
61	586	18320
62	596	18352
63	609	18425
64	620	18474
65	631	18503
66	642	18549
67	656	18638
68	666	18659
69	677	18693
70	689	18732
71	700	18744
72	711	18770
73	723	18824
74	734	18839
75	746	18888
76	756	18881
77	766	18886
78	776	18892
79	789	18950
80	801	18982
81	812	19008
82	824	19033
83	835	19062
84	847	19082
85	858	19100
86	870	19138
87	881	19162
88	893	19192
89	904	19188
90	915	19199
91	927	19243
92	939	19271
93	951	19303
94	964	19333
95	977	19392
96	987	19381
97	998	19376
98	1006	19334
99	1016	19316
100	1025	19272
101	1034	19252
102	1043	19211
103	1053	19198
104	1062	19169
105	1069	19116
106	1080	19114
107	1089	19083
108	1098	19056
109	1106	19013
110	1114	18973
111	1123	18935
112	1131	18900
113	1140	18866
114	1151	18871
115	1164	18906
116	1176	18935
117	1189	18965
118	1199	18966
119	1211	18973
120	1223	19002
121	1237	19055
122	1251	19097
123	1262	19093
124	1274	19115
125	1286	19133
126	1298	19152
127	1309	19156
128	1320	19150
129	1329	19126
130	1339	19107
131	1347	19065
132	1356	19043
133	1364	18994
134	1372	18959
135	1382	18942
136	1393	18951
137	1402	18930
138	1413	18918
139	1424	18927
140	1437	18957
141	1451	18997
142	1464	19024
143	1476	19033
144	1488	19048
145	1500	19049
146	1511	19059
147	1523	19065
148	1537	19100
149	1550	19127
150	1563	19143
151	1574	19145
152	1588	19171
153	1598	19165
154	1609	19157
155	1619	19147
156	1629	19132
157	1641	19139
158	1654	19161
159	1668	19187
160	1680	19195
161	1692	19197
162	1705	19226
163	1719	19249
164	1732	19269
165	1745	19289
166	1759	19309
167	1773	19337
168	1788	19379
169	1801	19396
170	1815	19420
171	1829	19444
172	1843	19465
173	1854	19465
174	1868	19487
175	1883	19520
176	1895	19518
177	1907	19519
178	1920	19533
179	1933	19550
180	1946	19565
181	1960	19579
182	1974	19602
183	1987	19618
184	2000	19624
185	2014	19641
186	2027	19661
187	2040	19664
188	2053	19680
189	2067	19692
190	2078	19683
191	2088	19666
192	2096	19632
193	2106	19614
194	2116	19595
195	2127	19579
196	2136	19556
197	2145	19524
198	2154	19502
199	2165	19488
200	2175	19472
201	2185	19449
202	2193	19416
203	2204	19404
204	2213	19377
205	2224	19371
206	2233	19345
207	2240	19306
208	2250	19282
209	2258	19247
210	2267	19228
211	2277	19207
212	2285	19175
213	2295	19154
